target_id	length	eff_length	est_counts	tpm
NC_033448.1	1656	1456.99	0	0
NC_033447.1	1804	1604.99	0	0
NC_033446.1	2912	2712.99	0	0
NC_033445.1	1622	1422.99	0	0
NC_033444.1	4947	4747.99	0	0
NC_033443.1	5144	4944.99	0	0
NC_033442.1	2972	2772.99	0	0
NC_033440.1	4443	4243.99	0	0
NC_033438.1	4739	4539.99	0	0
NC_033436.1	9903	9703.99	0	0
NC_033435.1	2841	2641.99	0	0
NC_033434.1	4683	4483.99	0	0
NC_033433.1	2847	2647.99	0	0
NC_033432.1	2696	2496.99	0	0
NC_033431.1	3883	3683.99	0	0
NC_033430.1	2945	2745.99	0	0
NC_033429.1	4884	4684.99	0	0
NC_033427.1	5659	5459.99	0	0
NC_033426.1	4467	4267.99	0	0
NC_033425.1	9956	9756.99	0	0
NC_033424.1	6271	6071.99	0	0
NC_033422.1	4635	4435.99	0	0
NC_033421.1	12209	12010	0	0
NC_033420.1	5558	5358.99	0	0
NC_033419.1	14984	14785	0	0
NC_033418.1	10182	9982.99	0	0
NC_033417.1	4931	4731.99	0	0
NC_033451.1	4708	4508.99	0	0
NC_033450.1	5990	5790.99	0	0
NC_033441.1	2790	2590.99	0	0
NC_033439.1	4112	3912.99	0	0
NC_033437.1	9876	9676.99	0	0
NC_033428.1	6003	5803.99	0	0
NC_025480.2	4995	4795.99	0	0
NC_025479.2	6944	6744.99	0	0
NC_033335.1	1311	1111.99	0	0
NC_033334.1	2781	2581.99	0	0
NC_027811.2	2900	2700.99	0	0
NC_033332.1	1541	1341.99	0	0
NC_033331.1	3171	2971.99	0	0
NC_033330.1	1549	1349.99	0	0
NC_033329.1	1549	1349.99	0	0
NC_033328.1	3958	3758.99	0	0
NC_033327.1	6873	6673.99	0	0
NC_033326.1	9312	9112.99	0	0
NC_033325.1	3250	3050.99	0	0
NC_033324.1	1218	1018.99	0	0
NC_033323.1	1521	1321.99	0	0
NC_033322.1	1271	1071.99	0	0
NC_033321.1	1939	1739.99	0	0
NC_033320.1	3165	2965.99	0	0
NC_033319.1	4027	3827.99	0	0
NC_033318.1	3165	2965.99	0	0
NC_033317.1	3175	2975.99	0	0
NC_033316.1	1652	1452.99	0	0
NC_033315.1	1589	1389.99	0	0
NC_033314.1	1611	1411.99	0	0
NC_033313.1	1789	1589.99	0	0
NC_033312.1	1675	1475.99	0	0
NC_033311.1	3025	2825.99	0	0
NC_033310.1	1788	1588.99	0	0
NC_033309.1	3831	3631.99	0	0
NC_033308.1	1692	1492.99	0	0
NC_033307.1	3267	3067.99	0	0
NC_033306.1	1652	1452.99	0	0
NC_033305.1	3159	2959.99	0	0
NC_033304.1	2708	2508.99	0	0
NC_033303.1	3256	3056.99	0	0
NC_033302.1	1602	1402.99	0	0
NC_033301.1	1731	1531.99	0	0
NC_033300.1	2685	2485.99	0	0
NC_033299.1	1803	1603.99	0	0
NC_033298.1	6009	5809.99	0	0
NC_033297.1	1866	1666.99	0	0
NC_033296.1	6186	5986.99	0	0
NC_033295.1	1924	1724.99	0	0
NC_033294.1	4083	3883.99	0	0
NC_033293.1	6746	6546.99	0	0
NC_033292.1	4615	4415.99	0	0
NC_033291.1	6699	6499.99	0	0
NC_033290.1	1212	1012.99	0	0
NC_033289.1	6556	6356.99	0	0
NC_033286.1	1637	1437.99	0	0
NC_033285.1	1653	1453.99	0	0
NC_033284.1	6585	6385.99	0	0
NC_033281.1	1309	1109.99	0	0
NC_033280.1	3215	3015.99	0	0
NC_033279.1	2989	2789.99	0	0
NC_033278.1	2874	2674.99	0	0
NC_033277.1	3593	3393.99	0	0
NC_033276.1	2750	2550.99	0	0
NC_033275.1	2464	2264.99	0	0
NC_033274.1	1369	1169.99	0	0
NC_033273.1	1375	1175.99	0	0
NC_033272.1	4668	4468.99	0	0
NC_033271.1	1370	1170.99	0	0
NC_033270.1	2143	1943.99	0	0
NC_033269.1	8318	8118.99	0	0
NC_033268.1	3737	3537.99	0	0
NC_033267.1	13776	13577	0	0
NC_033266.1	8978	8778.99	0	0
NC_033265.1	2704	2504.99	0	0
NC_033264.1	2469	2269.99	0	0
NC_033263.1	5102	4902.99	0	0
NC_033262.1	8673	8473.99	0	0
NC_033261.1	10841	10642	0	0
NC_033260.1	6288	6088.99	0	0
NC_033259.1	2275	2075.99	0	0
NC_033258.1	7418	7218.99	0	0
NC_033257.1	2012	1812.99	0	0
NC_033256.1	10857	10658	0	0
NC_033255.1	2816	2616.99	0	0
NC_033254.1	5917	5717.99	0	0
NC_033253.1	2872	2672.99	0	0
NC_033252.1	3679	3479.99	0	0
NC_033251.1	5032	4832.99	0	0
NC_033250.1	3611	3411.99	0	0
NC_033249.1	2892	2692.99	0	0
NC_033248.1	3663	3463.99	0	0
NC_033247.1	9480	9280.99	0	0
NC_033246.1	8903	8703.99	0	0
NC_033245.1	4250	4050.99	0	0
NC_033244.1	5037	4837.99	0	0
NC_033243.1	9596	9396.99	0	0
NC_033242.1	11507	11308	0	0
NC_033241.1	8114	7914.99	0	0
NC_033240.1	4778	4578.99	0	0
NC_033239.1	4225	4025.99	0	0
NC_033238.1	8964	8764.99	0	0
NC_033237.1	3085	2885.99	0	0
NC_033236.1	3259	3059.99	0	0
NC_033235.1	9596	9396.99	0	0
NC_033234.1	2835	2635.99	0	0
NC_033233.1	4886	4686.99	0	0
NC_033232.1	12044	11845	0	0
NC_033231.1	3770	3570.99	0	0
NC_033229.1	6083	5883.99	0	0
NC_033228.1	8772	8572.99	0	0
NC_033227.1	8253	8053.99	0	0
NC_033226.1	8905	8705.99	0	0
NC_033225.1	6111	5911.99	0	0
NC_033224.1	9635	9435.99	0	0
NC_033223.1	8951	8751.99	0	0
NC_033222.1	9481	9281.99	0	0
NC_033221.1	8342	8142.99	0	0
NC_033220.1	4168	3968.99	0	0
NC_033219.1	9614	9414.99	0	0
NC_033218.1	9668	9468.99	0	0
NC_033217.1	2613	2413.99	0	0
NC_033216.1	5117	4917.99	0	0
NC_033215.1	10153	9953.99	0	0
NC_033214.1	8307	8107.99	0	0
NC_033213.1	9301	9101.99	0	0
NC_033212.1	9440	9240.99	0	0
NC_033211.1	10423	10224	0	0
NC_033210.1	9658	9458.99	0	0
NC_033209.1	7388	7188.99	0	0
NC_033208.1	3891	3691.99	0	0
NC_033207.1	3668	3468.99	0	0
NC_033206.1	9820	9620.99	0	0
NC_033205.1	9287	9087.99	0	0
NC_033204.1	13693	13494	0	0
NC_033203.1	9058	8858.99	0	0
NC_033202.1	3325	3125.99	0	0
NC_033201.1	9789	9589.99	0	0
NC_033200.1	8313	8113.99	0	0
NC_033199.1	3608	3408.99	0	0
NC_033198.1	10856	10657	0	0
NC_033197.1	5635	5435.99	0	0
NC_033196.1	4981	4781.99	0	0
NC_033195.1	9266	9066.99	0	0
NC_033194.1	9166	8966.99	0	0
NC_033193.1	5682	5482.99	0	0
NC_033192.1	10072	9872.99	0	0
NC_033191.1	3631	3431.99	0	0
NC_033190.1	9235	9035.99	0	0
NC_033189.1	10153	9953.99	0	0
NC_033188.1	4650	4450.99	0	0
NC_033187.1	3557	3357.99	0	0
NC_033186.1	6041	5841.99	0	0
NC_033185.1	10445	10246	0	0
NC_033184.1	10162	9962.99	0	0
NC_033183.1	3875	3675.99	0	0
NC_033182.1	13283	13084	0	0
NC_033181.1	6844	6644.99	0	0
NC_033179.1	4792	4592.99	0	0
NC_033178.1	3446	3246.99	0	0
NC_033177.1	4228	4028.99	0	0
NC_033176.1	224064	223865	0	0
NC_033175.1	8223	8023.99	0	0
NC_033174.1	14639	14440	0	0
NC_033172.1	8926	8726.99	0	0
NC_033170.1	2981	2781.99	0	0
NC_033169.1	3929	3729.99	0	0
NC_033168.1	11270	11071	0	0
NC_033167.1	5448	5248.99	0	0
NC_033166.1	5077	4877.99	0	0
NC_033165.1	9141	8941.99	0	0
NC_033164.1	3195	2995.99	0	0
NC_033163.1	9388	9188.99	0	0
NC_033162.1	5420	5220.99	0	0
NC_033161.1	4230	4030.99	0	0
NC_033160.1	9186	8986.99	0	0
NC_033159.1	9086	8886.99	0	0
NC_033158.1	10650	10451	0	0
NC_033157.1	9145	8945.99	0	0
NC_033156.1	9309	9109.99	0	0
NC_033155.1	4964	4764.99	0	0
NC_033154.1	4925	4725.99	0	0
NC_033153.1	9650	9450.99	0	0
NC_033151.1	9345	9145.99	0	0
NC_033150.1	8235	8035.99	0	0
NC_033149.1	5094	4894.99	0	0
NC_033148.1	9487	9287.99	0	0
NC_033147.1	7652	7452.99	0	0
NC_033146.1	7548	7348.99	0	0
NC_033145.1	9158	8958.99	0	0
NC_033144.1	3206	3006.99	0	0
NC_033143.1	3964	3764.99	0	0
NC_033142.1	3540	3340.99	0	0
NC_033141.1	6021	5821.99	0	0
NC_033140.1	4772	4572.99	0	0
NC_033139.1	3108	2908.99	0	0
NC_033138.1	2961	2761.99	0	0
NC_033137.1	8804	8604.99	0	0
NC_033136.1	9758	9558.99	0	0
NC_033135.1	3015	2815.99	0	0
NC_033132.1	4928	4728.99	0	0
NC_033131.1	9166	8966.99	0	0
NC_033129.1	3815	3615.99	0	0
NC_033128.1	2841	2641.99	0	0
NC_033127.1	8941	8741.99	0	0
NC_033126.1	8848	8648.99	0	0
NC_033125.1	9621	9421.99	0	0
NC_033124.1	3685	3485.99	0	0
NC_033123.1	3791	3591.99	0	0
NC_033122.1	9528	9328.99	0	0
NC_033121.1	4551	4351.99	0	0
NC_033120.1	2748	2548.99	0	0
NC_033119.1	9478	9278.99	0	0
NC_033118.1	3229	3029.99	0	0
NC_033117.1	3284	3084.99	0	0
NC_033115.1	10962	10763	0	0
NC_033114.1	5394	5194.99	0	0
NC_033113.1	5804	5604.99	0	0
NC_033112.1	9435	9235.99	0	0
NC_033111.1	4823	4623.99	0	0
NC_033110.1	9549	9349.99	0	0
NC_033109.1	3959	3759.99	0	0
NC_033108.1	7696	7496.99	0	0
NC_033107.1	7396	7196.99	0	0
NC_033106.1	6235	6035.99	0	0
NC_033105.1	4560	4360.99	0	0
NC_033104.1	4067	3867.99	0	0
NC_033103.1	13161	12962	0	0
NC_033102.1	10046	9846.99	0	0
NC_033100.1	6570	6370.99	0	0
NC_033099.1	10061	9861.99	0	0
NC_033098.1	10025	9825.99	0	0
NC_033097.1	4775	4575.99	0	0
NC_033096.1	3456	3256.99	0	0
NC_033094.1	9763	9563.99	0	0
NC_033093.1	9795	9595.99	0	0
NC_033091.1	2583	2383.99	0	0
NC_033089.1	2791	2591.99	0	0
NC_033088.1	8778	8578.99	0	0
NC_033087.1	8604	8404.99	0	0
NC_033086.1	11515	11316	0	0
NC_033085.1	5218	5018.99	0	0
NC_033084.1	3718	3518.99	0	0
NC_033083.1	9319	9119.99	0	0
NC_033082.1	6206	6006.99	0	0
NC_033081.1	8176	7976.99	0	0
NC_033080.1	9147	8947.99	0	0
NC_033078.1	6096	5896.99	0	0
NC_033077.1	4369	4169.99	0	0
NC_033076.1	3694	3494.99	0	0
NC_033075.1	9458	9258.99	0	0
NC_033074.1	4130	3930.99	0	0
NC_033072.1	2781	2581.99	0	0
NC_033071.1	12535	12336	0	0
NC_033070.1	11145	10946	0	0
NC_033069.1	9311	9111.99	0	0
NC_033068.1	2566	2366.99	0	0
NC_033067.1	9171	8971.99	0	0
NC_033066.1	4971	4771.99	0	0
NC_033065.1	10183	9983.99	0	0
NC_033064.1	2702	2502.99	0	0
NC_033063.1	4427	4227.99	0	0
NC_033062.1	8747	8547.99	0	0
NC_033061.1	10126	9926.99	0	0
NC_033060.1	2781	2581.99	0	0
NC_033059.1	4118	3918.99	0	0
NC_033058.1	2585	2385.99	0	0
NC_033057.1	8127	7927.99	0	0
NC_033056.1	4632	4432.99	0	0
NC_033055.1	12513	12314	0	0
NC_033054.1	11668	11469	0	0
NC_033053.1	11260	11061	0	0
NC_033052.1	3919	3719.99	0	0
NC_033051.1	9581	9381.99	0	0
NC_033050.1	8763	8563.99	0	0
NC_033049.1	2723	2523.99	0	0
NC_033047.1	4692	4492.99	0	0
NC_033046.1	10184	9984.99	0	0
NC_033044.1	3319	3119.99	0	0
NC_033043.1	3348	3148.99	0	0
NC_033042.1	3675	3475.99	0	0
NC_033041.1	8476	8276.99	0	0
NC_033040.1	9185	8985.99	0	0
NC_033039.1	10473	10274	0	0
NC_033038.1	1790	1590.99	0	0
NC_033037.1	3799	3599.99	0	0
NC_033036.1	7500	7300.99	0	0
NC_033035.1	4740	4540.99	0	0
NC_033034.1	13000	12801	0	0
NC_033033.1	1793	1593.99	0	0
NC_033032.1	7736	7536.99	0	0
NC_033031.1	5040	4840.99	0	0
NC_033030.1	10107	9907.99	0	0
NC_033029.1	6056	5856.99	0	0
NC_033028.1	3008	2808.99	0	0
NC_033027.1	9614	9414.99	0	0
NC_033025.1	9836	9636.99	0	0
NC_033024.1	5321	5121.99	0	0
NC_033023.1	2539	2339.99	0	0
NC_033022.1	8691	8491.99	0	0
NC_033021.1	11079	10880	0	0
NC_033020.1	4629	4429.99	0	0
NC_033019.1	9035	8835.99	0	0
NC_033018.1	5278	5078.99	0	0
NC_033017.1	5904	5704.99	0	0
NC_033016.1	3570	3370.99	0	0
NC_033015.1	11280	11081	0	0
NC_033014.1	9074	8874.99	0	0
NC_033013.1	2981	2781.99	0	0
NC_033012.1	8033	7833.99	0	0
NC_033011.1	4863	4663.99	0	0
NC_033010.1	7620	7420.99	0	0
NC_033009.1	4000	3800.99	0	0
NC_033008.1	3776	3576.99	0	0
NC_033007.1	4570	4370.99	0	0
NC_033006.1	11332	11133	0	0
NC_033005.1	12379	12180	0	0
NC_033004.1	3714	3514.99	0	0
NC_033003.1	8681	8481.99	0	0
NC_033002.1	4084	3884.99	0	0
NC_033001.1	9763	9563.99	0	0
NC_033000.1	8382	8182.99	0	0
NC_032999.1	10069	9869.99	0	0
NC_032997.1	3051	2851.99	0	0
NC_032996.1	10378	10179	0	0
NC_032995.1	4221	4021.99	0	0
NC_032994.1	9854	9654.99	0	0
NC_032993.1	10908	10709	0	0
NC_032992.1	5430	5230.99	0	0
NC_032991.1	3932	3732.99	0	0
NC_032990.1	8882	8682.99	0	0
NC_032989.1	8636	8436.99	0	0
NC_032988.1	4854	4654.99	0	0
NC_032987.1	15099	14900	0	0
NC_032986.1	10959	10760	0	0
NC_032985.1	9702	9502.99	0	0
NC_032984.1	3628	3428.99	0	0
NC_032983.1	5222	5022.99	0	0
NC_032982.1	11670	11471	0	0
NC_032981.1	9142	8942.99	0	0
NC_032980.1	4409	4209.99	0	0
NC_032979.1	8938	8738.99	0	0
NC_032978.1	12155	11956	0	0
NC_032977.1	9538	9338.99	0	0
NC_032976.1	4963	4763.99	0	0
NC_032975.1	10012	9812.99	0	0
NC_032974.1	4423	4223.99	0	0
NC_032973.1	10123	9923.99	0	0
NC_032972.1	4496	4296.99	0	0
NC_032971.1	11834	11635	0	0
NC_032969.1	9865	9665.99	0	0
NC_032968.1	4716	4516.99	0	0
NC_032967.1	4180	3980.99	0	0
NC_032966.1	9667	9467.99	0	0
NC_032965.1	5510	5310.99	0	0
NC_032964.1	4303	4103.99	0	0
NC_032963.1	6372	6172.99	0	0
NC_032962.1	5094	4894.99	0	0
NC_032961.1	4536	4336.99	0	0
NC_032960.1	2724	2524.99	0	0
NC_032958.1	5440	5240.99	0	0
NC_032957.1	4560	4360.99	0	0
NC_032956.1	11349	11150	0	0
NC_032955.1	4581	4381.99	0	0
NC_032954.1	7505	7305.99	0	0
NC_032953.1	9025	8825.99	0	0
NC_032952.1	10019	9819.99	0	0
NC_032951.1	3343	3143.99	0	0
NC_032950.1	5197	4997.99	0	0
NC_032949.1	2550	2350.99	0	0
NC_032948.1	7552	7352.99	0	0
NC_032947.1	7810	7610.99	0	0
NC_032946.1	8352	8152.99	0	0
NC_032945.1	4711	4511.99	0	0
NC_032944.1	14440	14241	0	0
NC_032943.1	8464	8264.99	0	0
NC_032942.1	6761	6561.99	0	0
NC_032941.1	3181	2981.99	0	0
NC_032940.1	8922	8722.99	0	0
NC_032939.1	8465	8265.99	0	0
NC_032938.1	5595	5395.99	0	0
NC_032937.1	3216	3016.99	0	0
NC_032936.1	2824	2624.99	0	0
NC_032935.1	10360	10161	0	0
NC_032934.1	4484	4284.99	0	0
NC_032933.1	7966	7766.99	0	0
NC_032932.1	4836	4636.99	0	0
NC_032931.1	7192	6992.99	0	0
NC_032930.1	3332	3132.99	0	0
NC_032929.1	12303	12104	0	0
NC_032928.1	9081	8881.99	0	0
NC_032926.1	4288	4088.99	0	0
NC_032925.1	4779	4579.99	0	0
NC_032924.1	6754	6554.99	0	0
NC_032923.1	2863	2663.99	0	0
NC_032922.1	13741	13542	0	0
NC_032921.1	8752	8552.99	0	0
NC_032920.1	3090	2890.99	0	0
NC_032919.1	5859	5659.99	0	0
NC_032918.1	2934	2734.99	0	0
NC_032917.1	7094	6894.99	0	0
NC_032916.1	10234	10035	0	0
NC_032915.1	5313	5113.99	0	0
NC_032914.1	4382	4182.99	0	0
NC_032913.1	4177	3977.99	0	0
NC_032912.1	9356	9156.99	0	0
NC_032911.1	8215	8015.99	0	0
NC_032910.1	4007	3807.99	0	0
NC_032909.1	7594	7394.99	0	0
NC_032908.1	9463	9263.99	0	0
NC_032907.1	13109	12910	0	0
NC_032906.1	8890	8690.99	0	0
NC_032905.1	9828	9628.99	0	0
NC_032904.1	8860	8660.99	0	0
NC_032903.1	5029	4829.99	0	0
NC_032902.1	7691	7491.99	0	0
NC_032901.1	3196	2996.99	0	0
NC_032900.1	8916	8716.99	0	0
NC_032899.1	13389	13190	0	0
NC_032898.1	8281	8081.99	0	0
NC_032897.1	2073	1873.99	0	0
NC_032896.1	5933	5733.99	0	0
NC_032895.1	3995	3795.99	0	0
NC_032894.1	9077	8877.99	0	0
NC_032893.1	5795	5595.99	0	0
NC_032892.1	8943	8743.99	0	0
NC_032891.1	4380	4180.99	0	0
NC_032890.1	8377	8177.99	0	0
NC_032889.1	2930	2730.99	0	0
NC_032888.1	8658	8458.99	0	0
NC_032887.1	2677	2477.99	0	0
NC_032886.1	8610	8410.99	0	0
NC_032885.1	5363	5163.99	0	0
NC_032884.1	4326	4126.99	0	0
NC_032883.1	3615	3415.99	0	0
NC_032882.1	10473	10274	0	0
NC_032881.1	9339	9139.99	0	0
NC_032880.1	4473	4273.99	0	0
NC_032879.1	8410	8210.99	0	0
NC_032878.1	6293	6093.99	0	0
NC_032877.1	10481	10282	0	0
NC_032876.1	8831	8631.99	0	0
NC_032875.1	3851	3651.99	0	0
NC_032874.1	9103	8903.99	0	0
NC_032873.1	9223	9023.99	0	0
NC_032872.1	2730	2530.99	0	0
NC_032871.1	10076	9876.99	0	0
NC_032870.1	2247	2047.99	0	0
NC_032869.1	11157	10958	0	0
NC_032868.1	8375	8175.99	0	0
NC_032867.1	3992	3792.99	0	0
NC_032866.1	5160	4960.99	0	0
NC_032865.1	3164	2964.99	0	0
NC_032864.1	9291	9091.99	0	0
NC_032863.1	9126	8926.99	0	0
NC_032862.1	4145	3945.99	0	0
NC_032861.1	2592	2392.99	0	0
NC_032860.1	8266	8066.99	0	0
NC_032859.1	3092	2892.99	0	0
NC_032858.1	9887	9687.99	0	0
NC_032857.1	7849	7649.99	0	0
NC_032856.1	2286	2086.99	0	0
NC_032855.1	8685	8485.99	0	0
NC_032854.1	9041	8841.99	0	0
NC_032853.1	2495	2295.99	0	0
NC_032852.1	10445	10246	0	0
NC_032850.1	8712	8512.99	0	0
NC_032849.1	10903	10704	0	0
NC_032848.1	4130	3930.99	0	0
NC_032846.1	4035	3835.99	0	0
NC_032845.1	9182	8982.99	0	0
NC_032844.1	9299	9099.99	0	0
NC_032843.1	2971	2771.99	0	0
NC_032842.1	8783	8583.99	0	0
NC_032841.1	6618	6418.99	0	0
NC_032839.1	10528	10329	0	0
NC_032838.1	9272	9072.99	0	0
NC_032837.1	8091	7891.99	0	0
NC_032836.1	3474	3274.99	0	0
NC_032835.1	3643	3443.99	0	0
NC_032834.1	8467	8267.99	0	0
NC_032833.1	8031	7831.99	0	0
NC_032832.1	4059	3859.99	0	0
NC_032831.1	5336	5136.99	0	0
NC_032830.1	8664	8464.99	0	0
NC_032829.1	10120	9920.99	0	0
NC_032828.1	2308	2108.99	0	0
NC_032827.1	11290	11091	0	0
NC_032826.1	4264	4064.99	0	0
NC_032825.1	8524	8324.99	0	0
NC_032824.1	13549	13350	0	0
NC_032823.1	8158	7958.99	0	0
NC_032822.1	10297	10098	0	0
NC_032821.1	2664	2464.99	0	0
NC_032820.1	9550	9350.99	0	0
NC_032819.1	6659	6459.99	0	0
NC_032818.1	7484	7284.99	0	0
NC_032817.1	3559	3359.99	0	0
NC_032816.1	9551	9351.99	0	0
NC_032815.1	10033	9833.99	0	0
NC_032814.1	8991	8791.99	0	0
NC_032813.1	3717	3517.99	0	0
NC_032812.1	11218	11019	0	0
NC_032811.1	4431	4231.99	0	0
NC_032810.1	9716	9516.99	0	0
NC_032809.1	8739	8539.99	0	0
NC_032808.1	8895	8695.99	0	0
NC_032806.1	7804	7604.99	0	0
NC_032805.1	3507	3307.99	0	0
NC_032803.1	9155	8955.99	0	0
NC_032802.1	11119	10920	0	0
NC_032801.1	9743	9543.99	0	0
NC_032800.1	9539	9339.99	0	0
NC_032799.1	8837	8637.99	0	0
NC_032798.1	15783	15584	0	0
NC_032797.1	10912	10713	0	0
NC_032796.1	2281	2081.99	0	0
NC_032795.1	8601	8401.99	0	0
NC_032794.1	8489	8289.99	0	0
NC_032793.1	7447	7247.99	0	0
NC_032792.1	3375	3175.99	0	0
NC_032791.1	10236	10037	0	0
NC_032790.1	8821	8621.99	0	0
NC_032789.1	4209	4009.99	0	0
NC_032788.1	7171	6971.99	0	0
NC_032787.1	4822	4622.99	0	0
NC_032786.1	4755	4555.99	0	0
NC_032785.1	3593	3393.99	0	0
NC_032784.1	10472	10273	0	0
NC_032783.1	10003	9803.99	0	0
NC_032782.1	5082	4882.99	0	0
NC_032781.1	11560	11361	0	0
NC_032780.1	9100	8900.99	0	0
NC_032779.1	8774	8574.99	0	0
NC_032778.1	8974	8774.99	0	0
NC_032776.1	10308	10109	0	0
NC_032775.1	4193	3993.99	0	0
NC_032774.1	8860	8660.99	0	0
NC_032773.1	9296	9096.99	0	0
NC_032772.1	9598	9398.99	0	0
NC_032771.1	9773	9573.99	0	0
NC_032770.1	9856	9656.99	0	0
NC_032769.1	9129	8929.99	0	0
NC_032768.1	3501	3301.99	0	0
NC_032767.1	3498	3298.99	0	0
NC_032766.1	9555	9355.99	0	0
NC_032765.1	10976	10777	0	0
NC_032764.1	9487	9287.99	0	0
NC_032763.1	24854	24655	0	0
NC_032762.1	1684	1484.99	0	0
NC_032761.1	8923	8723.99	0	0
NC_032760.1	3518	3318.99	0	0
NC_032759.1	10129	9929.99	0	0
NC_032758.1	9660	9460.99	0	0
NC_032757.1	9910	9710.99	0	0
NC_032756.1	8842	8642.99	0	0
NC_032755.1	9316	9116.99	0	0
NC_032754.1	3209	3009.99	0	0
NC_032753.1	9037	8837.99	0	0
NC_032752.1	10106	9906.99	0	0
NC_032751.1	9177	8977.99	0	0
NC_032749.1	8652	8452.99	0	0
NC_032748.1	9565	9365.99	0	0
NC_032747.1	6097	5897.99	0	0
NC_032746.1	6381	6181.99	0	0
NC_032745.1	8848	8648.99	0	0
NC_032744.1	2716	2516.99	0	0
NC_032743.1	11022	10823	0	0
NC_032742.1	2642	2442.99	0	0
NC_032741.1	6453	6253.99	0	0
NC_032740.1	9481	9281.99	0	0
NC_032739.1	11938	11739	0	0
NC_032738.1	10327	10128	0	0
NC_032737.1	10610	10411	0	0
NC_032736.1	8267	8067.99	0	0
NC_032735.1	19864	19665	0	0
NC_032734.1	4958	4758.99	0	0
NC_032733.1	7081	6881.99	0	0
NC_032732.1	2758	2558.99	0	0
NC_032731.1	3833	3633.99	0	0
NC_032730.1	28763	28564	0	0
NC_032729.1	3970	3770.99	0	0
NC_032727.1	2375	2175.99	0	0
NC_032726.1	5695	5495.99	0	0
NC_032728.1	10845	10646	0	0
NC_033288.1	1883	1683.99	0	0
NC_033287.1	5924	5724.99	0	0
NC_033180.1	10194	9994.99	0	0
NC_033173.1	8687	8487.99	0	0
NC_033092.1	4175	3975.99	0	0
NC_032750.1	2982	2782.99	0	0
NC_033230.1	2571	2371.99	0	0
NC_033171.1	2768	2568.99	0	0
NC_033152.1	10315	10116	0	0
NC_033134.1	8799	8599.99	0	0
NC_033130.1	12441	12242	0	0
NC_033101.1	12660	12461	0	0
NC_033095.1	2799	2599.99	0	0
NC_033090.1	4752	4552.99	0	0
NC_033079.1	9247	9047.99	0	0
NC_033073.1	3908	3708.99	0	0
NC_032998.1	11297	11098	0	0
NC_032959.1	8678	8478.99	0	0
NC_032851.1	6891	6691.99	0	0
NC_032847.1	6682	6482.99	0	0
NC_033116.1	8961	8761.99	0	0
NC_033048.1	2209	2009.99	0	0
NC_033045.1	8840	8640.99	0	0
NC_033026.1	12566	12367	0	0
NC_032970.1	4633	4433.99	0	0
NC_032927.1	4917	4717.99	0	0
NC_032777.1	10429	10230	0	0
NC_031269.1	51884	51685	0	0
NC_031233.1	50346	50147	0	0
NC_031226.1	53717	53518	0	0
NC_031097.1	52077	51878	0	0
NC_031001.1	66611	66412	0	0
